‾	siqisqa, takay, vinculum
🥮	[yuèbǐng], killa pastel, otoño, raymi
🍡	Japones, brocheta, dango, k’aspi, miski, postre
🥟	dumpling, empanada, gyōza, jiaozi, pierogi, potsticker
🥠	galleta samipaq, profecia
🥡	k’uchu ostrawan, tawak’uchu aparikuypaq
🦀	Cancer, cangrejo, zodiaco
🦞	langosta, mamaquchamanta mikhuna, sillukuna, sopa de mariscos nisqa
🦐	camaron, huchuy, mariscos, mikhuna
🦑	calamar, mikhuna, molusco
🦪	buceo, ostra, perla
🍦	chiri, helado, llampʼu helado, llamp’u, miski, postre, tunti q’illu
🍧	chiri, miski, postre, raspadillo
🍨	chiri, helado, miski, postre, tunti q’illu
🍩	dona, miski, paqarin mikhuna, postre
🍪	galleta, miski, postre
🎂	masa, miski, postre, raymi, torta, wata huntaypaq, wata huntaypaq torta
🍰	masa, miski, pedazo, postre, torta
🧁	cupcake, miskʼi, panaderia
🥧	huntʼa, masa, tarta
🍫	barra, chocolate, chocolate barra, miski, postre
🍬	miski, miskʼi, postre
🍭	chupete, miski, miskʼi, postre
🍮	miski, postre, pudin, raqʼa
🍯	manka, miski, miskʼi manka, misk’i
🍼	biberon, biberón, upyana, wawa, wilali
🥛	qiru, upyana, wilali, wilali qirupi
☕️	cafe, qʼuñi upyana, q’uñi, te, upyana, wapsi
🫖	qiru, te, te qiru, upyana
🍵	chhapukucha tepaq mana ninriwan, qiru, te, upyana
🍶	bar, botella, copa, qiru, sake, upyana
🍾	bar, botella, corcho, dercorche, descorche jumiwa, upyana
🍷	bar, copa, qiru, upyana, vino qiru, wine
🍸️	bar, cocktail, cocktail qiru, qiru, upyana
🍹	bar, tropical, tropical upyana, upyana
🍺	bar, cerveza, cerveza jumiwa, jumiwa, upyana
🍻	anqusay, bar, cerveza, cerveza qirukuna anqusachkan, jumiwa, upyana
🥂	qiru, qirukuna anqusachkan, raymi, tintinay, upyana
🥃	licor, qiru, qiru vidriomanta, qirukuna vidriomanta, shot, whisky
🥤	jilli, qiru bombillawan, soda
🧋	perla, phukpu, phukpu te, te, wilali
🧃	jugo, miskʼi, pajilla, tawakʼuchu, upyana, upyana tawakʼuchu
🧉	mate, upyana
🧊	chhullunka, chiri, chiri tawakʼuchu
🥢	hashi, palillos
🍽️	khuchuna, plato, tenedor, tenedor chaymanta khuchuna platowan, waykʼuchkan
🍴	cuchilleria, khuchuna, tenedor, tenedor chaymanta khuchuna, waykʼsqa
🥄	vajilla, wislla
🔪	arma, hocho, khuchuna, khuchuna waykʼuypaq, llamkana, waykʼusqa
🏺	Acuario, anfora, jarra, upyana, waykʼusqa, zodiaco
🌍	Africa, Europa, kawsay pacha, pacha, saywasiqʼi Europa, Africapas Qawachkan
🌎️	America, kawsay pacha, pacha, saywasiqʼi america qawachkan
🌏	Asia, Australia, kawsay pacha, pacha, saywasiqʼi asia, austrakia qawachkan
🌐	kawsay pacha, meridianos, pacha, saywasiqʼi meridianoswan
🗺️	pacha, pacha saywasiq’i, saywasiq’i
🗾	Japñon Saywasiqʼi, Japón, saywasiq’i
🏔️	chiri, rit’i, rit’i urqupi, urqu
⛰️	urqu
🌋	ariq, erupcion, urqu
🗻	fuji, fuji urqi, urqu
🏕️	tampuchay
🏖️	maqya, maqya paqa achiwawan, para achiwa
🏜️	purum
🏝️	purum, purum wat’a, wat’a
🏞️	nacional parque, parque
🏟️	estadium
🏛️	ñawpa, ñawpa wasichiy
🏗️	hatun wasi wasichiynin, pirqaq
🪨	rumi
🏘️	wasikuna
🏚️	saqisqa, saqisqa wasi, wasi
🏠️	wasi
🏡	inkill, wasi, wasi inkillwan
🏢	jatariki, jatariki oficinakunapaq
🏣	Japones, Japónmanta oficina chaskipaq, chaski
🏤	Europeo, chaski, oficina chaskipaq
🏥	hampi, hampina wasi, hanpiq
🏦	banco, jatariki
🏨	jatariki, tampuwasi
🏩	munay, munaymanta tampu wasi, tampuwasi
🏪	qatuna 24 phanikunawan
🏫	jatariki, yachaywasi
🏬	kiti, qhatuna, qhatuna kiti
🏭️	jatariki, ruway
🏯	Japones, Japones pukara, pukara
🏰	Europeo, pukara
💒	capilla, romance, sawa
🗼	Tokio, Tokio torre, torre
🗽	Qhispi kay Wanki, qhispi kay, wanki
⛪️	Cristiano, chakana, iglesia, religion
🕌	Musulman, islam, mezquita, religion
🕍	sinagoga
⛩️	religion, santuario, sintoismo, sintoismo santuario
🕋	Musulman, islam, kaaba, religion
⛲️	pukyu
⛺️	carpa, tampuchay
🌁	kamanchaka, pukutay
🌃	ch’aska, tuta, tuta chʼaskakunawan
🏙️	llaqta, paisaje llaqtapi
🌄	inti, paqar, paqarin, paqarin urqukunapura, urqu
🌅	inti, paqar, paqarin
🌆	ch’isi, inti-haykupuynin, llaqta, rikchay, rikusqa llaqtamanta tutapi, tuta
🌇	inti, inti-haykupuynin, tuta
🌉	chaka, chaka tutapi, tuta
♨️	q’uñi, q’uñi yaku, t’ikmu, wapsi
🎠	carrusel, carrusel kawallu, kawallu
🎡	jawka parque, muyu, noria, noria qhatunapi
🎢	jawka parque, montaña rusa, muyuq
💈	barbero, poste, poste barberopaq, rutuy
🚂	ferrocarril, locomotora, motor, puriy, tren
🚃	carru, electrico, ferrocarril, tren ferrocarrilpaq, trolebus, ñan
🚄	ferrocarril, shinkansen, tren, utqhay, utqhay tren
🚅	ferrocarril, shinkansen, tren, utqhay
🚆	ferrocarril, tren
🚇️	metro, subterraneo
🚉	estacion, ferrocarril, tren
🚊	tranvia, trolebus, ñan
🚝	carru, monorrail
🚞	autu, ferrocarril, ferrocarril urqupaq, urqu
🚋	carru, trolebus, vagon tranviapaq, ñan
🚌	bus, carru
🚍️	autobus, bus, qatiq, qatiq autobus
🚎	bus, carretilla, tranvia, trolebus
🚐	bus, minibus
🚑️	ambulancia, carru
🚒	carru, carru bomberospaq, motor, nina
🚓	carru, paco, patrulla, policia carru
🚔️	carru, policia, qatiq, qatiq carru policiapaq
🚕	carru, taxi
🚖	qatiq taxi
🚗	auto, carru
🚘️	auto, carru, qatiq, qatiq carru
🚙	autocaravana, recreacional, ruwasqa pukllay
🚚	camión, qupuspa, qupuspa camión
🚛	articulado caminón
🚜	carru, tractor
🏎️	carrera, carrera carrupi, carru
🏍️	carrera, motocicleta
🛵	patinador motorwan
🚲️	bici, bicicleta
🛴	jayt’a, patinador, scooter
🛼	muyuq, patinar
🚏	autibus, bus, parada autobus, parada autobúspaq, tatichiy
🛣️	autopista, hatun ñan, ñan
🛤️	ferrocarril, ferrocarril tren, tren
🛢️	aceite, tambor, tambor aceitewan
⛽️	bomba gasolinera
🚨	auto, faro, k’anchay, muyusqa, policia, sirena policia carrumanta
🚥	kinranpa semaforo, k’anchay, trafico, unancha
🚦	k’anchay, sayanpa semaforo, trafico, unancha
🛑	alto, alto unancha, octagonal, unancha
🚧	kancha, wasichiy
⚓️	apachiy, linderuyachiq, llamkana
⛵️	samaypaq kiti, tiyana, velero, wamp’u, yate
🛶	canoa, wamp’u
🚤	utqhay lancha, wamp’u
🛳️	barco, pasajero, pasajero barcomanta
⛴️	apay, pasajero, wamp’u
🛥️	lancha motorwan, wamp’u
🚢	nave, pasajero, wamp’u
✈️	aeroplano, latap’isqu
🛩️	aeroplano, huchuy latap’isqu, latap’isqu
🛫	aeroplane, airplane, check-in, departure, departures, lata pʼisqu luqsina
🛬	aeroplano, chayachkan, chayanakuna, chayaspa, lata pʼisqu chayana, latap’isqu
💺	silla, tiyana
🚁	carru, helicoptero
🚟	ferrocarril, warkhusqa, warkhusqa ferrocarril
🚠	cable, gondola, teleferico urqupi, urqu
🚡	aereo, cable, carru, gondola, teleferico
🛰️	kampu, satelite
🚀	cohete, kampu
🛸	ovni, platillo volador
🛎️	botones, chhullupi, chhullupi botonespaq, tampu wasi
🧳	equipaje
⌚️	inti watana, reloj
⏰	despertador
⏱️	cronografo, reloj
⏲️	pacha, reloj, reloj temporizador
🕰️	reloj, reloj chimeneapaq
🕛️	00, 12, 12:00, chunka iskayniyuq, iskayniyuq
🕧	chunka iskayniyuq chaymanta kimsa chunkawan, chunka iskayniyuq-kimsa chunkawan
🕐️	00, 1, 1:00, huk
🕜	huk chaymanta kimsa chunkawan
🕑️	00, 2, 2:00, iskay
🕝	iskay chaymanta kimsa chunkawan
🕒️	00, 3, 3:00, kimsa
🕞	kimsa chaymanta kimsa chunkawan
🕓️	00, 4, 4:00, tawa
🕟	tawa chaymanta kimsa chunkawan
🕔️	00, 5, 5:00, phisqa
🕠	phisqa chaymanta kimsa chunkawan
🕕️	00, 6, 6:00, suqta
🕡	suqta chaymanta kimsa chunkawan
🕖️	00, 7, 7:00, qanchis
🕢	qanchis chaymanta kimsa chunkawan
🕗️	00, 8, 8:00, pusaq
🕣	pusaq chaymanta kimsa chunkawan
🕘️	00, 9, 9:00, jisqʼun, jisq’un
🕤	jisqʼun chaymanta kimsa chunkawan
🕙️	00, 10, 10:00, chunka
🕥	chunka chaymanta kimsa chunkawan
🕚️	00, 11, 11:00, chunka hukniyuq
🕦	chunka hukniyuq chaymanta kimsa chunkawan, chunka hukniyuq-kimsa chunkawan
🌑	killa, tuta, unu Killa
🌒	chawpi, killa, tukuspa, tukuspa chawpi killa
🌓	hukñiqi wañu, hukñiqi wañu killa, killa
🌔	chawpi, chawpi gibosa killa, gibosa, killa
🌕️	pura killa
🌖	chawpi, gibosa, killa, wañu, wañu gibosa killa
🌗	hukñiqi wañu, killa, qhipa wañu killa
🌘	chawpi, killa, wañu, wañu killa
🌙	chawpi killa
🌚	killa, unu killa uya, uya
🌡️	llaphiya, termometro
☀️	inti, k’anchay, wach’i
🌞	inti, inti uyawan, k’anchay, uya
⭐️	quyllur
🌟	k’anchay, k’anchaynin, lliphisqa, lliphisqa quyllur, quyllur
🌠	quyllur, urmay, utqhay, utqhay quyllur
🌌	kampu, via lactea
☁️	llaphiya, puyu
⛅️	inti, inti qhipa puyuman, puyu
⛈️	cloud, kunuñunu, para, puyu k’anchasqa parawan
🌤️	inti, inti qhipa huchuy puyu, puyu
🌥️	inti, inti qhipa hatun puyu, puyu
🌦️	inti, inti qhipa para puyupi, para, puyu
🌧️	para, puyu, puyu parawan
🌨️	chiri, puyu, puyu rit’iwan, rit’i
🌩️	k’anchaynin, puyu, puyu lliphiwan
🌪️	puyu, wayra, wayrakuna
🌫️	pukutay, puyu
🌬️	phukuy, puyu, uya, wayra, wayra uya
🌀	ciclón
🌈	kʼuychi, para
🌂	para, para achiwa, pʼacha, wichqasqa para achiwa
☂️	achiwa, para, para achiwa, p’acha
☔️	achiwa, para, para achiwa para sutʼukunawan, p’acha, sut’u
⛱️	achiwa, inti, para, para achiwa jallp’api
⚡️	kuraq voltaje
❄️	chiri, rit’i, rit’i urpu
☃️	chiri, rit’i, runa rit’imanta
⛄️	chiri, ritʼi urpu mana ritʼiwan, rit’i, runa rit’imanta
☄️	cometa, kampu
🔥	llamkana, nina
💧	chiri, kusi, miski, sutʼu, sut’u
🌊	mama qucha, wallch’a, yaku, yaku wallchʼa
🎃	halloween, jack, linterna, mathi, raymi
🎄	Navidad, Navidad sachʼa, raymi, sach’a
🎆	fuegos artificiales, raymi
🎇	fuegos artificiales, k’anchay, pinchi, raymi
✨	*, k’anchay, pinchikuna, quyllur
🎈	glubu, raymi
🎉	ch’amqaq, confeti, confeti chʼamqaq, raymi
🎊	confeti, muyu, muyu confetiwan, raymi
🎋	Japones, baner, raymi, sach’a, tanabata sachʼa
🎍	Japones, bambu, pino, pino achhachala, raymi
🎎	Japonesa urpukuna
🎏	carpa, carpas wiphala, raymi, wiphala
🎐	chhullupi wayrapaq, chhulluqi, chuullu, raymi, wayra
🎑	killa itu qawaypaq
🎀	cinta, raymi
🎁	pʼintusqa suña, p’intusqa, raymi, suña, tawak’uchu
🎗️	cinta, raymi, yuyarinapaq, yuyarinapaq cinta
🎟️	boleto, uyakuynin, uyakuynin boletokunapaq
🎫	boleto, uyakuynin
🎖️	medalla, militar, militar medalla, raymi
🏆️	premio, trofeo
🏅	medalla, pukllaypaq medalla
🥇	hukñiqi, medalla, medalla 1qi kitipaq, quri
🥈	iskayñiqi, medalla, medalla 2qi kitipaq, qullqi
🥉	medalla 3qi kitipaq
⚽️	futbol, futbol pʼulu, p’ulu
⚾️	beisbol, p’ulu
🏀	aro, basket, p’ulu
🏐	pukllay, p’ulu, voleibol
🏈	americano, futbol, futbol americano, p’ulu
🏉	futbol, p’ulu, rugby, rugby pʼulu
🎾	p’ulu, raqueta, tenis
🎳	bolos, pukllay, p’ulu
🏏	cricket pukllay, masu, pukllay, p’ulu
🏑	hockey, hockey chʼampapi, kampu, k’aspi, pukllay, p’ulu
🏒	chhullunka, hockey, hockey ritʼipi, k’aspi, puck, pukllay
🏓	masu, paleta, ping pong, pukllay, p’ulu, tenis tawla
🏸	badminton, pukllay, p’isqu, raqueta
🥊	boxeopaq, guante, guante boxeopaq
🥋	artes marciales, artes marciales pʼacha, judo, karate, p’acha, taekwondo
🥅	arco
⛳️	golf, t’uqu, wiphala tʼuqupi
⛸️	chhullunka, chhullunka patinar, patinar
🎣	callwa, caña challawaypaq challwawan, poste
🎽	atletico, camiseta, camiseta phawaypaq, faja, phawachkan
🎿	esqui, esquis, rit’i
🛷	trineo
🥌	muyusqa rumi, pukllay, rumi
🎯	diana
🎱	billar
🔮	fantasia, hadas willana, llamkana, muyu qhispillu, p’ulu, qhispillu, qulli
🎮️	patachaq, pukllay, video pukllay
🕹️	palanca patachaqpaq, pukllay, video pukllay
🎰	casinopaq maquina, kampu, pukllay
🎲	dado, pukllay, wañuy
♠️	espada tarhita, pukllay, tarhita
♥️	pukllay, sunqu tarhita, tarhita
♦️	diamante tarhita, pukllay, tarhita
♣️	pukllay, tarhita, trebol tarhita
🃏	joker, pukllay, tarhita
🀄️	mahjong, mahjong puka dragon, puka, pukllay
🎴	Japones, pukllachkan, pukllay, tarhita, tʼika naipes, t’ika
🎭️	artes escenicas
🖼️	kancha, kanchapi rikchay, llimpi, museo, rikchay, t’iktu
🎨	llimpi, museo, paleta, paleta llimpiq, t’iktu
👓️	lentes
🕶️	lentes intipaq
👔	corbata
👕	camisa
👖	jeans
🧣	chalina
🧤	guantes
🧥	abrigo
🧦	medias
👗	aqsu
👘	kimono
👙	bikini
👚	warmip pʼachan´
👛	pulcera
👜	bolso
👝	cartera
🛍️	ratina qamaña
👞	runap phapatun
👟	phawasqa phapatu
👠	tacones phapatu
👡	warmip sandalian
👢	warmip botan
👑	pillu
👒	warmip chikun
🎩	hanaq chiku
🎓️	graduacion chiku
🧢	gorra
⛑️	yanapaq llamkaqmanta casco
📿	rosario
💄	llimpʼi simipaq
💍	siwi
💎	gema
🔇	chʼin altavoz
🔈️	altavoz pisi chanrawan
🔉	altavoz chawpi chanrawan
🔊	altavoz hatun chanrawan
📢	altoparlante
📣	megáfono
📯	chakipaq waqra, chaski, chaski wasi, waqra
🔔	kampana
🔕	chʼin chhullupi
🎼	partitura
🎵	notas musical
🎶	notas musicales
🎙️	estudio, micro, microfono, microfono estudiomanta, takiy
🎚️	kuyuq, kuyuq ñiqi, takiy, ñiqi
🎛️	patachaq, perillas, perillas patachaqpaq, takiy
🎤	micrófono
🎧️	audifono
📻️	radio
🎷	saxofono
🎸	guitarra
🎹	teclas musicales
🎺	trompeta
🎻	violin
🥁	tambor
📱	apaykachana telefono
📲	apaykachana telefono wachʼiwan
☎️	fono
📞	auricular telefonomanta
📟️	tariq
📠	maquina faxpaq
🔋	kallpa waqaychaq
🔌	enchufe
🖥️	computadora, hanpara, hanpara computadora
🖨️	impresora
⌨️	ñitina
🖱️	mouse computadorapaq
🖲️	muyu mousepi
💽	computadora ruyru
💾	disquete
💿️	cd, computadora, disku, optico, ruyru
📀	dvd
🎥	camara cinepaq
🎞️	kanchakuna peliculamanta
📽️	proyector cinepaq
🎬️	claqueta
📺️	television
📷️	camara
📸	camara flash kaqwan
📹️	videocamara
📼	videocaset
🕯️	vela
💡	kʼancha
🔦	flash
🏮	izakaya linterna
📔	yachaykunapaq pʼanqa kʼacha rapiwan
📕	p’anqa, wichqasqa, wichqasqa pʼanqa
📖	kichasqa pʼanqa, kichay, p’anqa
📗	p’anqa, qʼumir pʼanqa, q’umir
📘	anqas pʼanqa, anqas p’anqa
📙	p’anqa, willapi, willapi pʼanqa
📚️	pʼanqakuna
📓	huchuy qillqanacha
📒	pʼanqa siwukunawan
📃	llinkʼu rapi
📜	suchuririy
📄	hanaqman rapi
📰	periodico
🗞	periodico ch’umisqa
📑	chinpuq, chinpuy, qawachiqkuna, rapi chinpuq, rapi chinpuqkunawan
🔖	chinpuq
🏷️	sutichaq
🏧	ATM unancha, atm, banco, cajero, kikichansqa
🚮	chuqaq, chuqasqa qupa, chuqasqa qupapi unancha
🚰	potable, potable yaku unancha, upyana, yaku
♿️	tiyana ruedaspi unancha, yaykuy
🚹️	baño nisqa, runakuna, runapaq unancha, wc
🚺️	baño nisqa, warmikuna, warmipaq unancha, wc
🚻	baño nisqa, baños, wc
🚼️	tiraypaq, wawa, wawapaq unancha
🚾	baño nisqa, baños, inodoro, wc, yaku
🛂	chiqaqchayninpaq, pasaporte, pasaporte chiqaqchaynin
🛃	aduanas
🛄	chaskimuy qipikuna
🛅	harkaq, lluqsina qipikuna, qipi, qipikuna
⚠️	yuyachikuy
🚸	chimpay, pedestre, trafico, wawa, wawakuna purichkanku
⛔️	ama yaykuna, amatasqa, mana, manaraq, trafico, yaykuna
🚫	amatasqa, mana, manaraq, yaykuna
🚳	ama bicicletakuna, amatasqa, bici, bicicleta, mana
🚭️	ama fumar, amatasqa, mana, manaraq
🚯	ama qupa chuqaychu, amatasqa, mana, manaraq, sansariy
🚱	ama yaku upyaypaq, mana yaykuy, yaku
🚷	ama transeuntes, amatasqa, mana, manaraq, transeuntes
📵	ama apaykachana telefonokuna, amatasqa, apaykchana, mana, telefono
🔞	18, ama sullka chunaka pusaqniyuqwan, ama sullka chunka pusaqniyuqwan, amatasqa, chunka pusaqniyuq, sullka wata, wata amataynin
☢️	radiactivo, unancha
☣️	biologico qupa, unancha
⬆️	cardinal, chincha, hanaq wachi, tarikuynin, wachi
↗️	chincha anti, hanaq paña wachi, intercardinal, tarikuynin, wachi
➡️	anti, cardinal, paña wachi, tarikuynin, wachi
↘️	intercardinal, qulla anti, tarikuynin, uran paña wachi, wachi
⬇️	cardinal, qulla, tarikuynin, uran, uran wachi, wachi
↙️	intercardinal, qulla anti, tarikuynin, uran lluqi wachi, wachi
⬅️	anti, cardinal, lluqi wachi, tarikuynin, wachi
↖️	chincha anti, hanaq lluqi wachi, intercardinal, tarikuynin, wachi
↕️	hanaq uran wachi, wachi
↔️	lluqi paña wachi, wachi
↮	lluqi pañaman siqi wachi
↩️	paña wachi llinkuwan lluqiman, wachi
↪️	lluqi wachi llinkuwan pañaman, lluqi wachi llinkuwan pañawan, wachi
⤴️	paña wachi llinkuwan hanaqman, wachi
⤵️	paña wachi llinkuwan uranman, uran, wachi
🔃	sayanpa wachikuna ura qatichkanku, ura qatichkanku, ura sayampa qatichkanku, wachi, watiqmanta qipiy
🔄	laduman muyuspa, laduman ura qatispa, laduman ura qatispa wachikunata ñitina, tikrasqa ura qatispa, wachi
🔙	QIPA wachi, qipa, wachi
🔚	TUKUY wachi, tukuy, wachi
🔛	KAWSARICHIY! wachi, chimpu, kawsarichiy, wachi
🔜	QATIQ wachi, UTQAY wachi, utqay, wachi
🔝	HANAN wachi, HANAQ wachi, hanan, hanaq, wachi
🛐	muchay kiti, munaynin, religion
⚛️	ateismo, atomo, atomo unancha
🕉️	Hindu, om, religion
✡️	David, Judio, quyllur, quyllur Davidmanta, religion
☸️	Budista, dharma, muyu, muyu dharmanimanta, religion
☯️	religion, tao, taoista, yang, yin, yin yang
✝️	Cristiano, chakana, latina chakana, religion
☦️	Cristiano, chakana, ortodoxa chakana, religion
☪️	Musulman, islam, quyllur chaymanta chawpi killa, religion
☮️	qhasi kay, qhasi kay unancha
🕎	candelabro, candelero, menorah, religion
🔯	fortuna, quyllur, suqta ñawpinkunawan quyllur
♈️	Aries, carnero, zodiaco
♉️	Tauro, buey, toro, zodiaco
♊️	Geminis, wispa, zodiaco
♋️	Cancer, apanqura, zodiaco
♌️	Leo, leon, zodiaco
♍️	Virgo, zodiaco
♎️	Libra, aysana, justicia, zodiaco, ñiqichanakuna
♏️	Escorpio, Escorpion, escorpio, escorpion, zodiaco
♐️	Sagitario, arquero, zodiaco
♑️	Capricornio, chiwu, zodiaco
♒️	Acuario, soporte, yaku, zodiaco
♓️	Piscis, challwa, zodiaco
⛎	Ofiuco, katari, soporte, zodiaco
🔀	chakatasqa, chakatasqa wachʼikuna ñitina, chaqrusqa taqikuna ñitina, wachi
🔁	kutipay, kutipay ñitina, ura qatichkanku, wachi
🔂	huklla, huklla kutipay ñitina, kutipay huk ñitina, ura qatichkanku, wachi
▶	kimsakuchu, paña, purichiy, purichiy ñitina, wachi
⏩	iskay, utqay, utqay ñawpaq ñitina, utqhay qatiq ñitina, wachi, ñawpaqman
⏭	itina, kimsakuchu, qatiq rikchay, qatiq taqi, qatiq ñan ñitina, wachi
⏯	kimsakuchu, paña, purichiy, purichiy utaq samay ñitina, samay, wachi
◀	kimsakuchu, lluqi, qhipanman ñitina, qipaman, qipaman ñitina, wachi
⏪	iskay, kutipachiy, utqay qipaman ñitina, utqhay tikrana ñitina, wachi
⏮	kimsakuchu, qhipa ñan ñitina, qipa ñan ñitina, wachi, ñawpaq rikchayman, ñawpaq ñan
🔼	hanaqman ñitina, puka, wachi, ñitina
⏫	iskay, utqay hanaq ñitina, utqhay hanaq ñitina, wachi
🔽	puka, uran, uranman ñitina, wachi, ñitina
⏬	iskay, uran, utqay uran ñitina, utqhay uran ñitina, wachi
⏸️	iskay, samay, samay ñitina, sayanpa, siqi
⏹️	tatichiy, tatichiy ñitina, tawakuchu
⏺️	graway, graway ñitina, muyu
⏏️	qarpuy, qarpuy ñitina
🎦	camara, cine, pelicula, pelikula
🔅	kanchaynin, llimpiy, llimpiy ñitina, lliphiy ñitina, uchuy
🔆	kanchay, kanchay ñitina, kanchaynin, kʼanchay ñitina
📶	antena, antena siqikunawan, apaykachana, pukullu, siqikuna, telefono
📳	apaykachana, mudu, pukullu, telefono, telefunu, vibracion, vibracion mudu
📴	apaykachana, apaykachana telefono wañuchiy, muvil, telefunu, wañuchiy telefono
♀️	warmi, warmi unancha
♂️	runa, tata unancha
⚧️	transgenero, transgenero unancha
✖️	chinkachiy, mirachiy, multiplicacion, unancha, x
➕	+, matematicas, unancha, yapana
➖	-, matematicas, qhichuna, qichuna, unancha, −
➗	matematicas, rakina, rakiy, unancha, ÷
🟰	tinki, tinki unancha, unancha
♾️	lliw, mana tukusqa, wiñaypaq, wiñaypaq wiñaynin
‼️	!, !!, bangbang, chimpu, iskay qapariq chimpu, iskay qapariq yupiy, qapariq
⁉️	!, !?, ?, chimpu, interrobang, qapariq, qapariq tapuna chinpuy, tapuna
❓️	?, chimpu, puka tapuna chimpu, punctuacion, tapuna
❔	?, chimpu, punctuacion, siqisqa, tapuna, yuraq tapukuna yupiy, yuraq tapuna yupiy
❕	!, chimpu, punctuacion, qapariq, siqisqa, yuraq qapariq yupiy
❗️	!, chimpu, puka qapariq yupiy, punctuacion, qapariq
〰️	muyuq, muyuq rakiqch’iku, puntuacion, rakiqchiku
💱	banco, qullqi, tikrasqa, tikrasqa qullqi
💲	dolar, dolar unancha, qullqi
⚕️	esculapio, hampi, hampiq unancha, llamkaqkuna
♻️	allinyachiy, allinyachiy unancha
⚜	flor de lis
🔱	ancla, llamkana, tridente, tridente unancha, unancha, wamp’u
📛	nina, nina rawra, rawra
🔰	Japones simi, Japones unancha ñawpaqpaq, cheuron, japones unancha qallariqkunapaq, rapi, ñawpaq
⭕️	hatun, muyu, o, puka, ukun puka muyu
✅	chimpu, chimputa chiqaqchay ñitina, chiqaqchay, ñitina, ✓
☑️	chiqaqchay, chiqaqchay tawakuchu chimpuwan, tawakuchu, ✓
✔️	chimpu, chiqaqchay, chiqaqchay chimpu, ✓
❌	chakana chinpu, chakata, chimpu, chinkachiy, mirachina, mirachiy, x, ×
❎	chakana chinpu ñitina, chinpu, tawakuchu, x, ×
➰	bucle, lazo, muyusqa
➿	bucle, iskay, iskay bucle, lazo
〽️	alternancia patma unancha, chimpu, patma
✳️	*, asterisco, pusaq siqiwan asterisco
✴️	*, pusaq ñawpikunawan quyllur, quyllur
❇️	*, kanchay, k’anchay
©️	c, copyright, copyright nisqa
®️	r, yaykusqa
™️	chimpu, tm, waqaychasqa chinpu, waqaychasqa chinpuy
🔠	ABCD, hatun sananpakuna, latina, latina hatun sananpakuna yaykuy, sananpakuna, yaykuy
🔡	abcd, latina, latina uchuy sananpakuna yaykuy, sananpakuna, uchuy sananpakuna, yaykkuna
🔢	1234, yaykuy, yupaykuna, yupaykuna yaykuy
🔣	unanchakuna yaykuy, yaykuy, 〒♪&%
🔤	abc, achahala, latina, latina sananpakuna yaykuy, sananpakuna
🅰️	A ñitina (imayna yawar), a, imayna yawar
🆎	AB ñitina (imayna yawar), ab, imayna yawar
🅱️	B ñitina (imayna yawar), b, imayna yawar
🆑	CL ñitina, cl
🆒	COOL ñitina, cool
🆓	FREE ñitina, free
ℹ️	i, willakuy
🆔	ID ñitina, id, riqsichiy
Ⓜ️	m, muyu, muyusqa M
🆕	NEW ñitina, new
🆖	NG ñitina, ng
🅾️	O ñitina (imayna yawar), imayna yawar, o
🆗	OK, OK ñitina
🅿️	P ñitina, parkeo
🆘	SOS ñitina, sos, yanapay
🆙	UP! ñitina, chimpu, up
🆚	VS ñitina, versus, vs
🈁	Japones, Japones "kaypi" ñitina, Japones “kaypi” ñitina, katakana, “kaypi”
🈂️	Japones, Japones "yanapakuy chanin" ñitina, katakana, “yanapakuy chanin”
🈷	Japones, Japones "sapa killa chanin" ñitina, ideografia, “sapa killa chanin”
🈶	Japones, Japones "mana qullqiyuq chaninpaq" ñitina, ideografia, “mana qullqiyuq chaninpaq”
🈯	Japones, Japones "waqaychasqa" ñitina, ideografia, “waqaychasqa”
🉐	Japones, Japones "makipuray" ñitina, ideografia, “makipuray”
🈹	Japones, Japones "ribajay" ñitina, ideografia, “ribajay”
🈚	Japones, Japones "mana tarifawan" ñitina, ideografia, “mana tarifawan”
🈲	Japones, Japones "amatasqa" ñitina, ideografia, “amatasqa”
🉑	Japones, Japones "uyakusqa" ñitina, ideografia, “uyakusqa”
🈸	Japones, Japones “llamkana” ñitina, ideografia, “llamkana”
🈴	Japones, Japones "ñiqi wichay" ñitina, ideografia, “ñiqi wichay”
🈳	Japones, Japones "vacante" ñitina, ideografia, “vacante”
㊗️	Japones, Japones “kusirikuykuna” ñitina, ideografia, “kusirikuykuna”
㊙️	Japones, Japones "pakasqa" ñitina, ideografia, “pakasqa”
🈺	Japones, Japones "qatunapaq kichay" ñitina, ideografia, “qatunapaq kichay”
🈵	Japones, Japones "mana vacanteyuq" ñitina, ideografia, “mana vacanteyuq”
🔴	chirukamay, muyu, puka, puka muyu
🟠	muyu, qillmu, qillmu muyu
🟡	muyu, qillu, qillu muyu
🟢	muyu, qumir, qumir muyu
🔵	anqas, anqas muyu, chirukamay, muyu
🟣	kulli, kulli muyu, muyu
🟤	muyu, paru, paru muyu
⚫️	chirukamay, muyu, yana muyu
⚪️	chirukamay, muyu, yuraq muyu
🟥	puka, puka tawakuchu, tawakuchu
🟧	qillmu, qillmu tawakuchu, tawakuchu
🟨	qillu, qillu tawakuchu, tawakuchu
🟩	qumir tawakuchu
🟦	anqas, anqas tawakuchu, tawakuchu
🟪	kulli, kulli tawakuchu, tawakuchu
🟫	paru, paru tawakuchu, tawakuchu
