‾	барзиёд
💡	барқӣ, идея, мазҳакавӣ, рӯшноӣ, фурӯзонак, чароғак
🔦	асбоб, барқӣ, машъал, рӯшноӣ, фонус
🏮	бар, рӯшноӣ, сурх, чароғ, чароғ аз қозаи сурх
📔	дафтар, дафтар бо муқоваи ороишӣ, китоб, муқова, ороишдода
📕	китоб, китоби пӯшида, пӯшида
📖	китоб, китоби кушода, кушода
📗	китоб, китоби сабз, сабз
📘	кабуд, китоб, китоби кабуд
📙	китоб, китоби норанҷӣ, норанҷӣ
📚️	китоб, китобҳо
📓	дафтар
📒	дафтар, дафтари бухғалтерӣ
📃	саҳифа, саҳифа бо қатшавӣ, қатшавӣ, ҳуҷҷат
📜	навори ҳаракат, қоғаз
📄	саҳифа, саҳифа бо рӯйгардонкунӣ, ҳуҷҷат
📰	газета, хабарҳо, қоғаз
🗞	газета, газетаи гардондашуда, гардондашуда, хабарҳо, қоғаз
📑	аломат, варақаҳо, варақаҳои хатбарак, маркер, хатбарак
🔖	аломат, хатбарак
🏷️	тамға
💰️	доллар, пул, сумка, халтаи пул
💴	асъор, бонк, йен, пул, қоғази пул, қоғази пули йен
💵	асъор, бонк, доллар, пул, қоғази пул, қоғази пули доллар
💶	асъор, бонк, евро, пул, қоғази пул, қоғази пули евро
💷	асъор, бонк, пул, фунт, қоғази пул, қоғази пули фунт
💸	асъор, бонк, пул, пул бо қанотҳо, қанотҳо, қоғази пул
💳️	бонк, корт, корти кредитӣ, пул, қарз
💹	асъор, афзоиш, бозор, боло, боло рафтан, бонк, график, диаграмма, диаграммаи афзоиш бо йен, йен, пул, тамоюл
✉️	лифофа, мактуб, номаи электронӣ
📧	мактуб, номаи электронӣ, почта, почтаи электронӣ
📨	воридшаванда, лифофа, лифофаи воридотӣ, мактуб, номаи электронӣ, почта, почтаи электронӣ, қабул кардан
📩	ирсол шуд, лифофа, лифофа бо тир, мактуб, номаи электронӣ, почта, почтаи электронӣ, поён, содиротӣ, тир
📤️	ирсол шуд, лавҳа, лавҳаи паёмдони баромад, мактуб, паёмдони баромад, почта, қуттӣ
📥️	лавҳа, лавҳаи паёмдони даромад, мактуб, паёмдони даромад, почта, қабул кардан, қуттӣ
📦️	баста, пакет, қуттӣ
📫️	почта, пӯшида, қуттии почта, қуттии почтаи пӯшида бо байрақчаи бардошаташуда
📪️	пастшуда, почта, пӯшида, қутии почтаи пӯшида бо байрақчаи паст кардашуда, қуттии почта
📬️	кушода, почта, қуттии почта, қуттии почтаи кушода бо байрақчаи бардошаташуда
📭️	кушода, пастшуда, почта, қуттии почта, қуттии почтаи кушода бо байрақчаи паст кардашуда
📮	почта, қуттии почта
🗳️	бюллетен, қуттии бюллетенҳо бо бюллетен, қуттӣ
✏️	қалам
✒️	нӯг, нӯги сиёҳ, ручка
🖋️	авторучка, ручка, фаввора
🖊️	ручка, ручкаи саққочадор
🖌️	мӯқаллам, расм
🖍️	пастел
📝	мемо, қалам
💼	ҷузвгир
📁	файл, ҷузвдон, ҷузвдони файлҳо
📂	кушода, кушодани ҷузвдони фалҳо, файл, ҷузвдон
🗂️	корт, нишондиҳанда, тақсимкунандаҳо, тақсимкунандаҳои индекси кортҳо
📅	сана, тақвим
📆	тақвим, тақвими дарондашаванда
🗒️	дафтари ёддошт, дафтари ёддошти печдор, печдор, тавзеҳ
🗓️	дафтари ёддошт, печдор, тақвим, тақвими печдор
📇	индекси корт, картотека, корт, нишондиҳанда
📈	афзоиш, боло, график, диаграмма, диаграммаи афзоишёбанда, тамоюл
📉	график, диаграмма, диаграммаи коҳишёбанда, поён, тамоюл
📊	бар, график, диаграмма, диаграммаи хаттӣ
📋️	ҳофизаи муваққатӣ
📌	сӯзан, тугмачаи сӯзандор
📍	сӯзан, тугмачаи сӯзандор, тугмачаи сӯзандори даврашакл
📎	бандак
🖇️	бандак, бандаки пайвандшуда, пайванд
📏	ҷадвал, ҷадвали рост
📐	маҷмӯъ, секунҷа, ҷадвал, ҷадвали секунҷа
✂️	абзор, буридан, қайчӣ
🗃️	корт, файл, қуттии файли кортҳо, қуттӣ
🗄️	кабинет, кабинети файлҳо, файл, ҳуҷҷатдорӣ
🗑️	сабади партовҳо
🔒️	пӯшида, қулфшуда
🔓️	кушода, кушодан, кушодашуда, қулф
🔏	бо қалам қулф шудааст, махфият, нӯг, ручка, сиёҳӣ, қулф
🔐	бехатар, бо калид қулф шудааст, калид, пӯшида, қулф
🔑	калид, парол, қулф
🗝️	калид, калиди куҳна, куҳна, қулф
🔨	асбоб, болға
⛏️	асбоб, зоғнӯл, саноати куҳӣ
⚒️	асбоб, болға, болға ва зоғнӯл, зоғнӯл
🛠️	асбоб, болға, болға ва калиди гайкатобӣ, калид, калиди гайкатобӣ
🗡️	корд, силоҳ, ханҷар
⚔️	силоҳ, чиллик гузошташуда, шамшер, шамшерҳои ба ҳам гузошташуда
🔫	асбоб, револвер, силоҳ, таппонча, яроқ, яроқи дастӣ
🏹	асбоб, бурҷи дувоздаҳгона, камон, камон ва тир, камонвар, камонварӣ, силоҳ, тир, Қавс
🛡️	силоҳ, сипар
🔧	асбоб, калид, калиди гайкатобӣ
🔩	асбоб, гайка, гайка ва мурват, мурват
⚙️	асбоб, чархи дандонадор
🗜️	асбоб, исканҷа, фишурдан, хамут
⚖️	Мизон, адолат, асбоб, бурҷи дувоздаҳгона, вазн, тавозун, тарозу
🔗	пайванд
⛓️	занҷир, занҷирҳо
⚗️	аламбик, асбоб, кимиё
🔬	асбоб, илм, микроскоп
🔭	асбоб, илм, телескоп
📡	антенна, антеннаи моҳвораӣ, моҳвора, табақ
💉	асбоб, бемор, дору, духтур, сӯзан, сӯзандору, сӯзанзанӣ
💊	бемор, дору, духтур
🚪	дар
🛏️	бистар, меҳмонхона, хоб кардан
🛋️	диван, диван ва чароғ, меҳмонхона, чароғ
🚽	ҳоҷатхона
🚿	душ, об
🛁	ванна, ҳаммом
🛒	ароба, аробача, аробача барои харид кардан, харид
🚬	сигор, тамоку кашидан
⚰️	марг, тобут
⚱️	марг, устадон, устадони ҷаноза, хокистар, ҷаноза
🗿	моаи, мояи, рӯй, ҳайкал
🏧	аломати "Банкомат", банкомат, бонк, гӯянда, худкор
🚮	аломати "Партов ба қуттӣ", партов, қуттии партовҳо
🚰	нӯшидан, нӯшокӣ, об, оби нӯшокӣ
♿️	аломати "Курсии чархдор", дастрасӣ
🚹️	мард, ҳоҷатхона, ҳоҷатхона барои мардон
🚺️	зан, ҳоҷатхона, ҳоҷатхона барои занон
🚻	ташноб, ҳоҷатхона, ҳоҷтхона
🚼️	аломати "Кӯдак", кӯдак, тағйир додан
🚾	мабраз, об, обхона, ташноб, ҳоҷатхона
🛂	назорат, назорати шиносномаҳо, шиноснома
🛃	гумрук
🛄	бағоч, гирифтан, гирифтани бағочҳо
🛅	бағоч, бағочхона, бағочҳои боқимонда
⚠️	огоҳӣ
🚸	гузариши кӯдакон, гузаштан, кӯдак, пиёдарав, ҳаракат
⛔️	ворид шудан манъ аст, вуруд, мамнуъ, манъшуда, не, нест, ҳаракат
🚫	вуруд, манъ аст, манъшуда, не, нест
🚳	велосипед, мамнуъ, манъшуда, не, нест, ҳаракат, ҳаракати велосипедҳо манъ аст
🚭️	мамнуъ, манъшуда, не, нест, тамоку кашидан манъ аст, тамокукашӣ
🚯	мамнуъ, манъшуда, не, нест, партов, партов партофтан манъ аст
🚱	об, оби ғайринӯшокӣ, ғайринӯшокӣ
🚷	мамнуъ, манъшуда, не, нест, пиёдарав, ҳаракати пиёдагардон манъ аст
📵	истифодаи телефонҳои мобилӣ манъ аст, мамнуъ, манъшуда, не, нест, телефон, телефони мобилӣ
🔞	18, мамнуъ, манъшуда, маҳдудияти синну сол, не, нест, ноболиғ, шахсони аз синни ҳаждаҳ манъ аст, ҳаждаҳ
☢️	аломат, радиоактивӣ
☣️	аломат, хатари биологӣ
⬆️	асосӣ, самт, тир, тири "боло", шимол
↗️	мобайнӣ, самт, тир, тири болову рост, шимолу шарқ
➡️	асосӣ, самт, тир, тири рост, шарқ
↘️	мобайнӣ, самт, тир, тири поёну рост, ҷанубу шарқ
⬇️	асосӣ, поён, самт, тир, тири поён, ҷануб
↙️	мобайнӣ, самт, тир, тири поёну чап, ҷанубу ғарб
⬅️	асосӣ, самт, тир, тири чап, ғарб
↖️	мобайнӣ, самт, тир, тири болову чап, шимолу ғарб
↕️	тир, тири поёну боло
↔️	тир, тири чапу рост
↩️	тир, тири рости ба тарафи чап каҷшаванда
↪️	тир, тири чапи ба тарафи рост каҷшаванда
⤴️	тир, тири рости ба тарафи боло каҷшаванда
⤵️	поён, тир, тири рости ба тарафи поён каҷшаванда
🔃	аз нав бор кардан, самти ҳаракати ақрабҳо соат, тир, тирҳои амудии самти ҳаракати ақрабҳои соат
🔄	Тугмаи "Тирҳои самти муқобили ҳаракати ақрабҳои соат", муқобили самти ҳаракати ақрабҳои соат, муқобили ҳаракати офтоб, тир
🔙	тир, тири "бозгашт", қафо
🔚	охир, тир, тири "охир"
🔛	нишона, тир, тири "фаъол!", фаъол
🔜	ба қарибӣ, тир, тири "ба қарибӣ"
🔝	боло, тир, тири "БОЛОЙ"
🛐	дин, ибодат, ҷои ибодат
⚛️	аломати "атом", атеист, атом
🕉️	дин, ом, Ҳинду
✡️	Дейвид, дин, ситора, ситораи Дейвид, яҳуд, яҳудӣ
☸️	Буддист, дарма, дин, чарх, чархи дарма
☯️	дин, йин, йин янг, тао, таоист, янг
✝️	Насронӣ, дин, салиб, салиби лотинӣ
☦️	Насронӣ, дин, салиб, салиби православӣ
☪️	Ислом, дин, мусулмон, ситора ва салиб
☮️	аломати "сулҳ", сулҳ
🕎	дин, менораҳ, шамъдон, қандил
🔯	ситора, ситораи холдори шашгӯша, тақдир
♈️	бурҷи дувоздаҳгона, қӯшқор, Ҳамал
♉️	Савр, бурҷи дувоздаҳгона, буққа
♊️	бурҷи дувоздаҳгона, дугоник, Ҷавзо
♋️	Саратон, ақраб, бурҷи дувоздаҳгона
♌️	Асад, бурҷи дувоздаҳгона, шер
♍️	Сунбула, бурҷи дувоздаҳгона
♎️	Мизон, адолат, бурҷи дувоздаҳгона, тавозун, тарозу
♏️	Ақраб, бурҷи дувоздаҳгона, каждум
♐️	бурҷи дувоздаҳгона, Қавс, қавс
♑️	бурҷи дувоздаҳгона, Ҷадӣ, ҷадӣ
♒️	Далв, бурҷи дувоздаҳгона, доранда, об
♓️	бурҷи дувоздаҳгона, Ҳут, ҳут
⛎	Ophiuchus, бурҷи дувоздаҳгона, доранда, мор
🔀	тир, тугмаи "Аралаш кардани суруд", чиллик гузошташуда
🔁	самти ҳаракати ақрабҳои соат, такрор, тир, тугмаи "Такрор"
🔂	самти ҳаракати ақрабҳои соат, тир, тугмаи "Такрори ягона", як бор
▶	пахш, рост, секунҷа, тир, тугмаи "пахш"
⏩	дутарафа, пеш, тез, тир, тугмаи "Гузариш ба пеш"
⏭	саҳнаи навбатӣ, секунҷа, суруди навбатӣ, тир, тугмаи "Суруди навбатӣ"
⏯	пахш, рост, секунҷа, таваққуф, тир, тугмаи "Пахш ё таваққуф"
◀	гузариш ба қафо, секунҷа, тир, тугмаи "Гузариш ба қафо", чап
⏪	ба ақиб бурдан, дутога, тир, тугмаи "Гузариши зуд ба қафо"
⏮	саҳнаи қаблӣ, секунҷа, суруди қаблӣ, тир, тугмаи "Суруди охирин"
🔼	сурх, тир, тугма, тугмаи "Боло"
⏫	дутарафа, тир, тугмаи "Зуд ба боло"
🔽	поён, сурх, тир, тугма, тугмаи "Поён"
⏬	дутога, поён, тир, тугмаи "Зуд ба поён"
⏸️	Тугмаи "Таваққуф", амудӣ, дутарафа, навор, таваққуф
⏹️	ист, тугмаи "Ист", чоркунҷа
⏺️	давра, сабт, тугмаи "Сабт"
⏏️	баровардан, тугмаи "Баровардан"
🎦	камера, кино, филм
🔅	камнур, паст, рӯшноӣ, тугмаи "Камнуршавӣ"
🔆	равшан, рӯшноӣ, тугмаи "Рӯшноӣ"
📶	антенна, навор, сигнал, телефон, телефони мобилӣ, хатҳои антенна
📳	ларзиш, реҷа, реҷаи ларзиш, телефон, телефони мобилӣ
📴	телефон, телефони мобилӣ, хомӯш, хомӯш кардани телефони мобилӣ
♀️	аломати зан, зан
♂️	аломати мард, мард
✖️	бекор кардан, зарб задан, зарбзании вазнин х, зарбзанӣ, х
➕	аломати вазнини ҷамъ, риёзӣ, ҷамъ
➖	аломати вазнини тарҳ, риёзӣ, тарҳ
➗	аломати вазнини тақсим, риёзӣ, тақсим
‼️	аломат, аломати хитоби дукарата, аломатҳои китобатӣ, банг-банг, хитоб
⁉️	аломат, аломати китобатӣ, аломати хитобу савол, интерробанг, савол, хитоб
❓️	аломат, аломати китобатӣ, аломати савол, савол
❔	аломат, аломати китобатӣ, аломати саволи сафед, баёншуда, савол
❕	аломат, аломати хитоби сафед, аломатҳои китобатӣ, баёншуда, хитоб
❗️	аломат, аломати хитоб, аломатҳои китобатӣ, хитоб
〰️	аломати китобатӣ, мавҷдор, тире, тиреи мавҷдор
💱	асъор, бонк, мубодила, мубодилаи асъор, пул
💲	аломати доллари вазнин, асъор, доллар, пул
⚕️	аломати тиббӣ, дору, кормандон, табиб
♻️	аз нав коркард кардан, аломати "азнавкоркардкунӣ"
⚜	савсан
🔱	асбоб, киштӣ, лангар, нишон, нишони Соскан, соскан
📛	нишона, нишонаи ном, ном
🔰	аломати ҷопонӣ барои навомӯз, асбоб, барг, зард, навомӯз, сабз, шеврон, ҷопонӣ
⭕️	давра, давраи калони вазнин, о
✅	аломат, аломати вазнини қайди сафед, қайд
☑️	бюллетен, қайд, қуттии бюллетенҳо бо қайд, қуттӣ
✔️	аломат, аломати вазнини қайд, қайд
❌	аломат, аломати салиб, бекор кардан, зарб задан, зарбзанӣ, х
❎	аломат, тугмаи "Аломати салиб", чоркунҷа
➰	печ, ҳалқа, ҳалқаи пурпечутоб
➿	дутарфа, печ, ҳалқа, ҳалқаи дутарафа пурпечутоб
〽️	аломат, аломати тағйирёбии қисм, қисм
✳️	ситорача, ситорачаи ҳашт паррадор
✴️	ситора, ситораи ҳашт нӯгдор
❇️	ялаққос задан
©️	ҳуқуқи муааллиф
®️	ба қайд гирифташуда
™️	аломат, тамғаи савдо
🔠	ABCD, вуруд, лотинӣ, ҳарфҳо, ҳарфҳои калон, ҳарфҳои калони вуруди лотинӣ
🔡	abcd, вуруд, лотинӣ, ҳарфҳо, ҳарфҳои хурд, ҳарфҳои хурди вуруди лотинӣ
🔢	1234, вуруд, рақамҳо, рақамҳои вуруд
🔣	аломатҳои вуруд, вуруд, 〒♪&%
🔤	abc, алфавит, вуруд, лотинӣ, ҳарфҳо, ҳарфҳои вуруди лотинӣ
🅰️	а, гуруҳи хун, тугмаи "А" (гуруҳи хун)
🆎	аb, гуруҳи хун, тугмаи "АВ" (гуруҳи хун)
🅱️	b, гуруҳи хун, тугмаи "В" (гуруҳи хун)
🆑	cl, тугмаи "CL"
🆒	салқин, тугмаи "ЗӮР"
🆓	озод, тугмаи "ОЗОД"
ℹ️	i, маълумот
🆔	id, тугмаи "ID", шахсият
Ⓜ️	m, М бо давра қайд шуд, давра
🆕	нав, тугмаи "НАВ"
🆖	ng, тугмаи "NG"
🅾️	гуруҳи хун, о, тугмаи "О" (гуруҳи хун)
🆗	OK, тугмаи "OK"
🅿️	таваққуф кардан, тугмаи "P"
🆘	sos, кӯмак, тугмаи "SOS"
🆚	vs, бар зидди, тугмаи "VS"
🈁	"инҷо", катакана, тугмаи "инҷо"-и ҷопонӣ, ҷопонӣ, ココ
🈂️	"маблағи хизматрасонӣ", катакана, тугмаи "Маблағи хизматрасонӣ"-и ҷопонӣ, ҷопонӣ, サ
🈷	"арзиши моҳона", идеограмма, тугмаи "арзиши моҳона"-и ҷопонӣ, ҷопонӣ, 月
🈶	"ройгон", идеограмма, тугмаи "Ройгон нест"-и ҷопонӣ, ҷопонӣ, 有
🈯	"нигоҳ дошташуда", идеограмма, тугмаи "нигоҳ дошташуда"-и ҷопонӣ, ҷопонӣ, 指
🉐	"хариду фурӯш", идеограмма, тугмаи "Хариду фурӯш"-и ҷопонӣ, ҷопонӣ, 得
🈹	"тахфиф", идеограмма, тугмаи "Тахфиф"-и ҷопонӣ, ҷопонӣ, 割
🈚	"ройгон", идеограмма, тугмаи "Ройгон"-и ҷопонӣ, ҷопонӣ, 無
🈲	"манъшуда", идеограмма, тугмаи "манъ аст"-и ҷопонӣ, ҷопонӣ, 禁
🉑	"қобили қабул", идеограмма, тугмаи "Қобили қабул"-и ҷопонӣ, ҷопонӣ, 可
🈸	"барнома", идеограмма, тугмаи "барномаи"-и ҷопонӣ, ҷопонӣ, 申
🈴	"баҳои гузариш", идеограмма, тугмаи "Баҳои гузариш"-и ҷопонӣ, ҷопонӣ, 合
🈳	"ҷои кори холӣ", идеограмма, тугмаи "Ҷои кори холӣ"-и ҷопонӣ, ҷопонӣ, 空
㊗️	"табрик", идеограмма, тугмаи "Табрик"-и ҷопонӣ, ҷопонӣ, 祝
㊙️	"махфӣ", идеограмма, тугмаи "Махфӣ"-и ҷопонӣ, ҷопонӣ, 秘
🈺	"барои тиҷорат кушода аст", идеограмма, тугмаи "Барои тиҷорат кушода аст"-и ҷопонӣ, ҷопонӣ, 営
🈵	"ҷои кори холӣ нест", идеограмма, тугмаи "Ҷои кори холӣ нест"-и ҷопонӣ, ҷопонӣ, 満
🔴	геометрӣ, доира, доираи сурх, сурх
🔵	геометрӣ, доира, доираи кабуд, кабуд
⚫️	геометрӣ, доира, доираи сиёҳ
⚪️	геометрӣ, доира, доираи сафед
⬛️	геометрӣ, чоркунҷа, чоркунҷаи калони сиёҳ
⬜️	геометрӣ, чоркунҷа, чоркунҷаи калони сафед
◼️	геометрӣ, чоркунҷа, чоркунҷаи миёнаи сиёҳ
◻️	геометрӣ, чоркунҷа, чоркунҷаи миёнаи сафед
◾️	геометрӣ, чоркунҷа, чоркунҷаи хурди миёнаи сиёҳ
◽️	геометрӣ, чоркунҷа, чоркунҷаи хурди миёнаи сафед
▪️	геометрӣ, чоркунҷа, чоркунҷаи хурди сиёҳ
▫️	геометрӣ, чоркунҷа, чоркунҷаи хурди сафед
🔶	алмос, алмоси калони норинҷӣ, геометрӣ, норанҷӣ
🔷	алмос, алмоси калони кабуд, геометрӣ, кабуд
🔸	алмос, алмоси хурди норинҷӣ, геометрӣ, норанҷӣ
🔹	алмос, алмоси хурди кабуд, геометрӣ, кабуд
🔺	геометрӣ, секунҷаи сурхи ба боло равонашуда, сурх
🔻	геометрӣ, поён, секунҷаи сурхи ба поён равонашуда, сурх
💠	алмос, алмос бо як нуқта, геометрӣ, дарун, мазҳакавӣ
🔘	геометрӣ, радио, тугма, тугмаи "Радио"
🔳	геометрӣ, тугма, тугмаи "Чоркунҷаи сафед", чоркунҷа, ҳошиядор
🔲	геометрӣ, тугма, тугмаи "Чоркунҷаи сиёҳ", чоркунҷа
🏁	байрақи чорхона, катакчадор, пойга, чорхона
🚩	байрақи секунҷа, сутун
🎌	байрақҳои чиллик гузошташуда, салиб, чиллик гузошташуда, ҷашн, ҷопонӣ
🏴	байрақи сиёҳ, мавҷ задан
🏳️	байрақи сафед, мавҷ задан
🏳‍🌈	байрақи тирукамон, тирукамон
¤	Асъори номаълум
🏻	навъи 1–2, ранги пӯст, ранги равшани пӯст
🏼	навъи 3, ранги пӯст, ранги равшании миёнаи пӯст
🏽	навъи 4, ранги миёнаи пӯст, ранги пӯст
🏾	навъи 5, ранги пӯст, ранги торики миёнаи пӯст
🏿	навъи 6, ранги пӯст, ранги торики пӯст
